BveTs Motor Noise Table 1.00
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,,,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1,,0,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,0,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
17.8,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
35.9,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,
41.3,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
47.9,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
54.3,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
86.2,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
