BveTs Motor Noise Table 1.00
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,0.1,,,,,,,,,,,,,,,,
5.6,1,,,,0,,,,,,,,,,,,,
6.5,,0.3,,,,,,,,,,,,,,,,
7,,0.8,0,,,,,,,,,,,,,,,
7.5,,0.3,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,
11.2,,0,0.7,0,0.4,,,,,,,,,,,,,
12.2,,,0.2,0.65,0.4,,,,,,,,,,,,,
13.2,,,0,0,1,,0,,,,,,,,,,,
15,,,,,1,,,,,,,,,,,,,
16.5,,,,,0.8,0,0.5,,,,,,,,,,,
17,,,,,0.5,,,,,,,,,,,,,
18,,,,,0,1,0,,,,,,,,,,,
19,,,,,,,0.5,,,,,,,,,,,
19.5,,,,,0.5,0,0.8,,,,,,,,,,,
21.5,,,,,0,,1,0,,,,,,,,,,
22.5,,,,,,,,0,,,,,,,,,,
23,,,,,,,1,,,,,,,,,,,
24,,,,,,,0,1,0,,,,,,,,,
25.5,,,,,,,,,1,,,,,,,,,
26.5,,,,,,,,0,,,,,,,,,,
27.9,,,,,,,,0,1,0,,,,,,,,
28.9,,,,,,,,,1,,,,,,,,,
31.8,,,,,,,,,,1,,,,,,,,
32.8,,,,,,,,,0,1,0,,,,,,,
33.3,,,,,,,,,,1,,,,,,,,
34.3,,,,,,,,,,,1,,,,,,,
35.3,,,,,,,,,,0,1,0,,,,,,
35.8,,,,,,,,,,,1,,,,,,,
39.4,,,,,,,,,,,,1,,,,,,
40.4,,,,,,,,,,,0,1,0,,,,,
41.4,,,,,,,,,,,,1,,,,,,
46,,,,,,,,,,,,,1,,,,,
47,,,,,,,,,,,,0,1,0,,,,
48,,,,,,,,,,,,,1,,,,,
52,,,,,,,,,,,,,,0.95,,,,
54,,,,,,,,,,,,,0,0.95,0,,,
56,,,,,,,,,,,,,,0.95,,,,
60,,,,,,,,,,,,,,,0.9,,,
62,,,,,,,,,,,,,,0,0.9,0,,
64,,,,,,,,,,,,,,,0.9,,,
72.7,,,,,,,,,,,,,,,,0.85,,
74.7,,,,,,,,,,,,,,,0,0.85,0,
76.7,,,,,,,,,,,,,,,,0.85,,
80.6,,,,,,,,,,,,,,,,,0.8,
82.1,,,,,,,,,,,,,,,,0,0.8,0
84.1,,,,,,,,,,,,,,,,,0.8,
,,,,,,,,,,,,,,,,,,
90.5,,,,,,,,,,,,,,,,,0.3,0.6
110,,,,,,,,,,,,,,,,,0.2,0.6
120,,,,,,,,,,,,,,,,,0.2,0.6
,,,,,,,,,,,,,,,,,,
