BveTs Motor Noise Table 1.00
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,
13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,
14.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,
14.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
18.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
18.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,
20.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
23.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7,,,,,,,,,,
23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.49,,,,,,,,,,
23.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
25.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,
29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
30.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,
31.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
34.82,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,
36.71,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,
37.65,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3,,,,,,,,,,,,,
39.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
40.47,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,
41.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.41,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,
42.35,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,,,,,,,,,,,,,,
43.29,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
43.67,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
48.22,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
49.88,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,,,,,,,,,,,,,,,
50.82,,,,,,,,,,,,,,,,,,,,,,,,,1,0.2,,,,,,,,,,,,,,,
53.34,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
55.53,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
64.58,,,,,,,,,,,,,,,,,,,,,,0,,0.9,0,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,0.8,0,0,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,
98.6,,,,,,,,,,,,,,,,,,,,,,0,0.5,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
