BveTs Motor Noise Table 1.00
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,,,,
0.6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.1,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.1,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.2,,,,,,,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
