BveTs Motor Noise Table 1.00
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9,1,,0,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
4,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
13,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
24,,,,,0,1,0,,,,,,,,,,,,,,,,,,,
30,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
38,,,,,,,0,1,,,,,,,,,,,,,,,,,,
38.1,,,,,,,,0.7,,,,,,,,,,,,,,,,,,
38.2,,,,,,,,0,,,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,,,,,,,,0,,,,,,,,,,,,,,,,,,
0.8,,,,,,,,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,,,,,,,,0,1,0,,,,,,,,,,,,,,,,
7.7,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
13,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
25.1,,,,,,,,,,,0,1,0,,,,,,,,,,,,,
35.7,,,,,,,,,,,,0,1,,,,,,,,,,,0,,
38,,,,,,,,,,,,,1,,,,,,,,,,,0,,
38.1,,,,,,,,,,,,,0.7,,,,,,,,,,,0.7,,
38.2,,,,,,,,,,,,,0,,,,,,,,,,,1,,
40.1,,,,,,,,,,,,,0,,,,,,,,,,0,1,,
41.1,,,,,,,,,,,,,,,,,,,,,,,,1,,
42.2,,,,,,,,,,,,,,,,,,,,,,,1,,,
43.2,,,,,,,,,,,,,,,,,,,,,,0,1,0,,
44.2,,,,,,,,,,,,,,,,,,,,,,,1,,,
45.5,,,,,,,,,,,,,,,,,,,,,,1,,,,
46.5,,,,,,,,,,,,,,,,,,,,,0,1,0,,,
47.5,,,,,,,,,,,,,,,,,,,,,,1,,,,
49,,,,,,,,,,,,,,,,,,,,,1,,,,,
49.7,,,,,,,,,,,,,,,,,,,,0,1,0,,,,
52,,,,,,,,,,,,,,,,,,,,,1,,,,,
58,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
60.8,,,,,,,,,,,,,,,,,,,0,0.8,0,,,,,
62,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,0.8,0,,,,,,
80,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
90,,,,,,,,,,,,,,,,,,,0.3,,,,,,,
100,,,,,,,,,,,,,,,,,,,0.3,,,,,,,
