BveTs Motor Noise Table 1.00
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
3,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
12,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
23,,,,,0,1,0,,,,,,,,,,,,,,,,,,,
29,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
29.1,,,,,,,0.7,,,,,,,,,,,,,,,,,,,
29.2,,,,,,,0,0,,,,,,,,,,,,,,,,,,
0,,,,,,,,,0,,,,,,,,,,,,,,,,,
4.1,,,,,,,,,1,0,,,,,,,,,,,,,,,,
7.7,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
13,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
25.1,,,,,,,,,,,0,1,,0,,,,,,,,,,,,
29,,,,,,,,,,,,1,,0,0,,,,,,,,,,,
29.1,,,,,,,,,,,,0.7,,0.7,,,,,,,,,,,,
29.2,,,,,,,,,,,,0,,1,0.1,,,,,,,,,,,
30,,,,,,,,,,,,,,1,0.3,,,,,,,,,,,
30.5,,,,,,,,,,,,,,,,,,,,,,,,,,
31.5,,,,,,,,,,,,,,,0.65,,,,,,,,,,,
34.3,,,,,,,,,,,,,,0,1,0,,,,,,,,,,
37.3,,,,,,,,,,,,,,,1,0.3,,,,,,,,,,
39,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,
41,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
44.4,,,,,,,,,,,,,,,,1,,,,,,,,,,
45.4,,,,,,,,,,,,,,,,1,,,,,,,,,,
46.4,,,,,,,,,,,,,,,0,1,0,,,,,,,,,
48.4,,,,,,,,,,,,,,,,1,,,,,,,,,,
55.8,,,,,,,,,,,,,,,,,1,,,,,,,,,
56.8,,,,,,,,,,,,,,,,0,1,0,,,,,,,,
57.8,,,,,,,,,,,,,,,,,1,,,,,,,,,
69,,,,,,,,,,,,,,,,,0,0.8,,,,,,,,
80,,,,,,,,,,,,,,,,,,0.7,,,,,,,,
90,,,,,,,,,,,,,,,,,,0.4,,,,,,,,
100,,,,,,,,,,,,,,,,,,0.4,,,,,,,,
