Bvets Motor Noise Table 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Run
#,,0.8,,,,,,,,,,,989.6,1456.2,2520.5,,,*,,,,,,,,,,,,
#,,,,,,,,,,,,,,,248.4,350.5,401.5,359,433,540,639,674.5,471.2,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,192.6,,,,,,,,230
0,0.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,0,1,0,,,,,,0,,,,,,,
40,,,,,,,,,,,,,,,,0,1,,,,,,0.3,,,,,,,
46.9,,,,,,,,,,,,,,,,,0.5,,,,,,0.7,,,,,,,
47.1,,,,,,,,,,,,,,,,,0,,,0,,,1,,,,,,,
60,,,,,,,,,,,,,,,,,,,,1,0,,0,,,,,,,
71,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01,0,,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,0,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,0,0.8,0,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,0,0.8,0,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,0,0.8,0,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,0,0.8,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0,
42,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.75,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7,0,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0,,
47.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
